"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",101,"116","beta",2009,0.000975176791918654
"106",101,"122","beta",2009,0.0986877848528621
"106",101,"149","beta",2009,0.0240467312019645
"106",101,"15","beta",2009,0.000036551031426986
"106",101,"157","beta",2009,0.00316327280123284
"106",101,"181","beta",2009,0.00109653094280958
"106",101,"187","beta",2009,0.00112145210060071
"106",101,"205","beta",2009,0.00636695386147497
"106",101,"210","beta",2009,0.0107269331361807
"106",101,"236","beta",2009,0.000822398207107184
"106",101,"267","beta",2009,0.000986877848528621
"106",101,"270","beta",2009,NA
"106",101,"44","beta",2009,0.0000396655083813754
"106",101,"461","beta",2009,0.00129965213017702
"106",101,"463","beta",2009,0.000246719462132155
"106",101,"56","beta",2009,0.00000577121548847147
"106",101,"71","beta",2009,0.00274132735702395
"106",101,"75","beta",2009,0.000145129095371856
"106",101,"79","beta",2009,0.00726286317727863
"106",101,"83","beta",2009,0.000185384520721064
"106",101,"882","beta",2009,0.00164479641421437
"106",101,"951","beta",2009,0.00123746438686974
"106",101,"982","beta",2009,0.000704912748949015
"106",51,"1016","mu",2009,427000
"106",51,"1020","mu",2009,22592
"106",51,"1034","mu",2009,14000000
"106",51,"1062","mu",2009,812500
"106",51,"108","mu",2009,53500
"106",51,"116","mu",2009,1753217
"106",51,"1166","mu",2009,26936
"106",51,"1182","mu",2009,10224
"106",51,"122","mu",2009,7771
"106",51,"15","mu",2009,6534746
"106",51,"157","mu",2009,3307681
"106",51,"162","mu",2009,553000
"106",51,"176","mu",2009,11844
"106",51,"181","mu",2009,97408
"106",51,"187","mu",2009,28655
"106",51,"191","mu",2009,7708
"106",51,"201","mu",2009,1457
"106",51,"205","mu",2009,8500
"106",51,"210","mu",2009,5000
"106",51,"211","mu",2009,4000
"106",51,"221","mu",2009,106660
"106",51,"222","mu",2009,12000
"106",51,"223","mu",2009,3110
"106",51,"225","mu",2009,106600
"106",51,"234","mu",2009,1770
"106",51,"236","mu",2009,468200
"106",51,"242","mu",2009,0
"106",51,"260","mu",2009,3286600
"106",51,"265","mu",2009,0
"106",51,"267","mu",2009,280200
"106",51,"27","mu",2009,1620400
"106",51,"270","mu",2009,50200
"106",51,"289","mu",2009,1500
"106",51,"292","mu",2009,0
"106",51,"293","mu",2009,0
"106",51,"333","mu",2009,2000
"106",51,"336","mu",2009,0
"106",51,"339","mu",2009,70000
"106",51,"358","mu",2009,338087
"106",51,"366","mu",2009,486595
"106",51,"367","mu",2009,44577
"106",51,"373","mu",2009,89443
"106",51,"388","mu",2009,6878161
"106",51,"393","mu",2009,395637
"106",51,"394","mu",2009,509491
"106",51,"397","mu",2009,69817
"106",51,"399","mu",2009,316809
"106",51,"401","mu",2009,323869
"106",51,"402","mu",2009,0
"106",51,"403","mu",2009,384418
"106",51,"406","mu",2009,26403
"106",51,"414","mu",2009,192214
"106",51,"417","mu",2009,89780
"106",51,"420","mu",2009,51128
"106",51,"426","mu",2009,523330
"106",51,"44","mu",2009,1049200
"106",51,"449","mu",2009,720100
"106",51,"461","mu",2009,30020
"106",51,"463","mu",2009,2100000
"106",51,"486","mu",2009,372
"106",51,"490","mu",2009,2421284
"106",51,"495","mu",2009,826825
"106",51,"497","mu",2009,544532
"106",51,"507","mu",2009,7125
"106",51,"512","mu",2009,26182
"106",51,"515","mu",2009,2325653
"106",51,"521","mu",2009,872368
"106",51,"523","mu",2009,645
"106",51,"526","mu",2009,215121
"106",51,"530","mu",2009,8000
"106",51,"531","mu",2009,116179
"106",51,"534","mu",2009,1691788
"106",51,"536","mu",2009,189303
"106",51,"541","mu",2009,7450
"106",51,"544","mu",2009,163044
"106",51,"547","mu",2009,1956
"106",51,"550","mu",2009,760
"106",51,"552","mu",2009,1526
